Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson,Train spearman,Val spearman,Test spearman
Word2vec 500 tfidf,Baseline,tfidf,True,True,True,0.4592534189017991,0.48229531721323166,0.5094921328791726,0.49795090868745245,0.46880322398506574,0.5673316622222948
Roberta hugging mean,7,roberta-hugging,True,False,True,0.8255190388989497,0.45645610564736,0.506551760368181,0.8311212772399477,0.45228975933420223,0.5050941572218038
Word2vec 100 mean,Baseline,mean,True,True,True,0.42125032471512547,0.3875891951332132,0.5058196031141401,0.46372932275266293,0.3973204801907898,0.5519926270627739
Word2vec 100 tfidf,Baseline,tfidf,True,True,True,0.430031049160127,0.4734282392047909,0.5050585752204984,0.4721233927601488,0.4625377604034298,0.5557132823080335
Initialized w2v propi notrain,1,embeddings,True,True,False,0.47669385975943274,0.44213713707644525,0.5048546051112173,0.5113693474183372,0.4422565145680539,0.5605141666467255
Word2vec propi mean,Baseline,mean,True,True,True,0.4766938734984587,0.4421371136223926,0.5048545200381671,0.5113734863787986,0.44226222597809073,0.5604810232838245
Word2vec 100 tfidf,4,tfidf,True,True,True,0.42901346392004147,0.4697717814086332,0.5009289744953246,0.4666061629107265,0.45882965255481073,0.547951213436822
Word2vec nlpl mean,Baseline,mean,True,True,True,0.4516168628590781,0.41560928890921156,0.5007283491232175,0.49017363253998986,0.4352127705153381,0.5552274853674746
Word2vec 100 mean,4,mean,True,True,True,0.4125872113313209,0.38144729043317077,0.49846566944706044,0.46866155612420257,0.4050871896474899,0.5547142477656554
Word2vec 100 tfidf,1,tfidf,True,True,True,0.6378195662078527,0.4376795735552619,0.49408944792065057,0.6426594010599536,0.4580080592569451,0.5421974473575549
Roberta hugging mean,4,roberta-hugging,True,False,True,0.49373628807391196,0.513541240131344,0.49355968040858467,0.5268045081865205,0.5283234480772055,0.5934779890546623
Word2vec nlpl tfidf,Baseline,tfidf,True,True,True,0.44618971547128083,0.4786739241319929,0.48974561805505334,0.4839720617278867,0.48108627683445665,0.5493730214156348
Word2vec 500 mean,Baseline,mean,True,True,True,0.44112774859540005,0.3497334745366133,0.4885259415223936,0.4819494797109064,0.3787761371159784,0.5537063559274262
Word2vec 1000 tfidf,4,tfidf,True,True,True,0.441593095972562,0.45670623583164,0.48448122653375525,0.47544132246171744,0.4473406996782823,0.5166113580309466
Roberta mean,Baseline,roberta,True,False,True,0.368514883530784,0.305404594816901,0.4785996535138997,0.3932610285316667,0.31037808790714494,0.4874600593970331
Random v2,2,embeddings,False,True,False,0.9736631997913925,0.3627848780239234,0.47724430358313136,0.9844157800432614,0.3770999651137019,0.5092265924625772
Word2vec 1000 mean,Baseline,mean,True,True,True,0.4194391024831624,0.33368895316794983,0.4749740095711563,0.47258417844204803,0.3784269338060794,0.5423750150631081
Word2vec nlpl mean,1,mean,True,True,True,0.5799402966651619,0.35217762055589324,0.4722317911446503,0.5787197216800979,0.4086427562444045,0.5037051465442894
Word2vec ccca300 tfidf,Baseline,tfidf,True,True,True,0.38020615688562154,0.4071529961071621,0.46982762224221297,0.4415304878444193,0.4418124161312135,0.5452983342931804
Word2vec 500 mean,4,mean,True,True,True,0.42143805372815857,0.3821923587676316,0.4691051979873283,0.44472000534865114,0.38580716681991967,0.5003485978752683
Initialized ccca300 notrain,2,embeddings,True,True,False,0.6444145723022203,0.46101931031477994,0.4681082663085572,0.6539317784704153,0.46008354340442137,0.48165004981840176
Random,2,embeddings,False,True,True,0.9894206023985979,0.40404116606708995,0.4663744098401739,0.9909674223241458,0.40017782955781533,0.5040442316517445
Initialized ccca300 notrain,0,embeddings,True,True,False,0.5171634411993367,0.4079171949645378,0.4662102431467261,0.5075120200367021,0.41475576738104636,0.4722411088643605
Word2vec nlpl tfidf,1,tfidf,True,True,True,0.5994182555231343,0.4098010519088773,0.4633526888467481,0.5995487016694483,0.43370941741023467,0.5166618562721155
Word2vec 1000 mean,5,mean,True,True,True,0.4058835001260855,0.3208858813817113,0.4627395447007083,0.47616625927481615,0.38177406197132596,0.5414640409128415
Onehot,Baseline,onehot,True,True,True,0.41407625302777873,0.349983508807285,0.45578052012159764,0.4507969581996736,0.36551853957456804,0.4923156696561946
Roberta 0 mean,Baseline,roberta2,True,False,True,0.36622894910724346,0.30472937903380914,0.4538634452100099,0.3873695230013282,0.30555221721152753,0.4673705216130531
Word2vec 1000 mean,1,mean,True,True,True,0.5704330691244307,0.3852758614924708,0.45181086380084257,0.5785032803435508,0.42809011333979197,0.4785658688341234
Spacy md,1,spacy,True,True,True,0.7199992830118779,0.31287717359539047,0.45166571032763303,0.734397500511578,0.3319626614607423,0.4955352872345881
Word2vec 500 tfidf,1,tfidf,True,True,True,0.6112612404794153,0.42962842295502524,0.4484023961178663,0.6167170644925319,0.44838493077375574,0.511604573698268
